tag,title,short-title,date,subtitle,highlights,duration,location,thanks
TrueCircle,TrueCircle AI,TrueCircle AI,2021+,Design Engineer @ Early-Stage Startup,"First full-time hardware engineer
Launched MVP product in UK facility
Implemented roadmap to outsource site work",1 Year+ full-time,"TrueCircle HQ, London",PH et al.
OnionBot,OnionBot,OnionBot,2020,Individual Project,Confident in Python algorithm and interface design. Good understanding of ML at a prototype level.,1 Year part-time,Imperial College London,DB
